Pair,Maturity_Years,Strike_Price,Implied_Volatility
USDAUD,0.05,1.06806,
USDAUD,0.05,1.0915338461538462,
USDAUD,0.05,1.1150076923076924,
USDAUD,0.05,1.1384815384615385,
USDAUD,0.05,1.1619553846153847,
USDAUD,0.05,1.1854292307692307,
USDAUD,0.05,1.2089030769230769,
USDAUD,0.05,1.232376923076923,
USDAUD,0.05,1.2558507692307692,
USDAUD,0.05,1.2793246153846154,
USDAUD,0.05,1.3027984615384616,
USDAUD,0.05,1.3262723076923078,
USDAUD,0.05,1.349746153846154,
USDAUD,0.05,1.3732199999999999,
USDAUD,0.05,1.396693846153846,
USDAUD,0.05,1.4201676923076922,
USDAUD,0.05,1.4436415384615384,
USDAUD,0.05,1.4671153846153846,0.06117246633573835
USDAUD,0.05,1.4905892307692308,0.06450668905137764
USDAUD,0.05,1.514063076923077,0.06470459303868596
USDAUD,0.05,1.5375369230769231,0.06469984544372948
USDAUD,0.05,1.5610107692307693,0.06447842261018635
USDAUD,0.05,1.5844846153846155,0.06130643352524328
USDAUD,0.05,1.6079584615384617,
USDAUD,0.05,1.6314323076923078,
USDAUD,0.05,1.654906153846154,
USDAUD,0.05,1.67838,
USDAUD,0.05,1.7018538461538462,
USDAUD,0.05,1.7253276923076923,
USDAUD,0.05,1.7488015384615385,
USDAUD,0.05,1.7722753846153845,
USDAUD,0.05,1.7957492307692307,
USDAUD,0.05,1.8192230769230768,
USDAUD,0.05,1.842696923076923,
USDAUD,0.05,1.8661707692307692,
USDAUD,0.05,1.8896446153846154,
USDAUD,0.05,1.9131184615384615,
USDAUD,0.05,1.9365923076923077,
USDAUD,0.05,1.960066153846154,
USDAUD,0.05,1.98354,
USDAUD,0.11785714285714285,1.06806,
USDAUD,0.11785714285714285,1.0915338461538462,
USDAUD,0.11785714285714285,1.1150076923076924,
USDAUD,0.11785714285714285,1.1384815384615385,
USDAUD,0.11785714285714285,1.1619553846153847,
USDAUD,0.11785714285714285,1.1854292307692307,
USDAUD,0.11785714285714285,1.2089030769230769,
USDAUD,0.11785714285714285,1.232376923076923,
USDAUD,0.11785714285714285,1.2558507692307692,
USDAUD,0.11785714285714285,1.2793246153846154,
USDAUD,0.11785714285714285,1.3027984615384616,
USDAUD,0.11785714285714285,1.3262723076923078,
USDAUD,0.11785714285714285,1.349746153846154,
USDAUD,0.11785714285714285,1.3732199999999999,
USDAUD,0.11785714285714285,1.396693846153846,
USDAUD,0.11785714285714285,1.4201676923076922,
USDAUD,0.11785714285714285,1.4436415384615384,0.05015937669553697
USDAUD,0.11785714285714285,1.4671153846153846,0.0630334499381372
USDAUD,0.11785714285714285,1.4905892307692308,0.06407056768934075
USDAUD,0.11785714285714285,1.514063076923077,0.06429212911828658
USDAUD,0.11785714285714285,1.5375369230769231,0.06427204920731207
USDAUD,0.11785714285714285,1.5610107692307693,0.06398689069667943
USDAUD,0.11785714285714285,1.5844846153846155,0.06277974708565023
USDAUD,0.11785714285714285,1.6079584615384617,0.04988295986052796
USDAUD,0.11785714285714285,1.6314323076923078,
USDAUD,0.11785714285714285,1.654906153846154,
