Pair,Maturity_Years,Strike_Price,Implied_Volatility
USDJPY,0.05,106.77799999999999,
USDJPY,0.05,109.12476923076922,
USDJPY,0.05,111.47153846153846,
USDJPY,0.05,113.81830769230768,
USDJPY,0.05,116.16507692307691,
USDJPY,0.05,118.51184615384615,
USDJPY,0.05,120.85861538461538,
USDJPY,0.05,123.20538461538462,
USDJPY,0.05,125.55215384615384,
USDJPY,0.05,127.89892307692307,
USDJPY,0.05,130.2456923076923,
USDJPY,0.05,132.59246153846152,
USDJPY,0.05,134.93923076923076,
USDJPY,0.05,137.286,
USDJPY,0.05,139.6327692307692,
USDJPY,0.05,141.97953846153845,
USDJPY,0.05,144.3263076923077,
USDJPY,0.05,146.6730769230769,
USDJPY,0.05,149.01984615384615,0.05005838723037902
USDJPY,0.05,151.3666153846154,0.05057505185672827
USDJPY,0.05,153.7133846153846,0.05054159655352829
USDJPY,0.05,156.06015384615384,0.04943680110604818
USDJPY,0.05,158.40692307692308,
USDJPY,0.05,160.7536923076923,
USDJPY,0.05,163.10046153846153,
USDJPY,0.05,165.44723076923077,
USDJPY,0.05,167.79399999999998,
USDJPY,0.05,170.14076923076922,
USDJPY,0.05,172.48753846153846,
USDJPY,0.05,174.83430769230768,
USDJPY,0.05,177.18107692307692,
USDJPY,0.05,179.52784615384616,
USDJPY,0.05,181.87461538461537,
USDJPY,0.05,184.2213846153846,
USDJPY,0.05,186.56815384615385,
USDJPY,0.05,188.91492307692306,
USDJPY,0.05,191.2616923076923,
USDJPY,0.05,193.60846153846154,
USDJPY,0.05,195.95523076923075,
USDJPY,0.05,198.302,
USDJPY,0.11785714285714285,106.77799999999999,
USDJPY,0.11785714285714285,109.12476923076922,
USDJPY,0.11785714285714285,111.47153846153846,
USDJPY,0.11785714285714285,113.81830769230768,
USDJPY,0.11785714285714285,116.16507692307691,
USDJPY,0.11785714285714285,118.51184615384615,
USDJPY,0.11785714285714285,120.85861538461538,
USDJPY,0.11785714285714285,123.20538461538462,
USDJPY,0.11785714285714285,125.55215384615384,
USDJPY,0.11785714285714285,127.89892307692307,
USDJPY,0.11785714285714285,130.2456923076923,
USDJPY,0.11785714285714285,132.59246153846152,
USDJPY,0.11785714285714285,134.93923076923076,
USDJPY,0.11785714285714285,137.286,
USDJPY,0.11785714285714285,139.6327692307692,
USDJPY,0.11785714285714285,141.97953846153845,
USDJPY,0.11785714285714285,144.3263076923077,
USDJPY,0.11785714285714285,146.6730769230769,0.0536989836984506
USDJPY,0.11785714285714285,149.01984615384615,0.056172896623276784
USDJPY,0.11785714285714285,151.3666153846154,0.056564149073308576
USDJPY,0.11785714285714285,153.7133846153846,0.056403349554344624
USDJPY,0.11785714285714285,156.06015384615384,0.05527375556292017
USDJPY,0.11785714285714285,158.40692307692308,0.04279182718580374
USDJPY,0.11785714285714285,160.7536923076923,
USDJPY,0.11785714285714285,163.10046153846153,
USDJPY,0.11785714285714285,165.44723076923077,
USDJPY,0.11785714285714285,167.79399999999998,
USDJPY,0.11785714285714285,170.14076923076922,
USDJPY,0.11785714285714285,172.48753846153846,
USDJPY,0.11785714285714285,174.83430769230768,
USDJPY,0.11785714285714285,177.18107692307692,
USDJPY,0.11785714285714285,179.52784615384616,
USDJPY,0.11785714285714285,181.87461538461537,
